dataset,method,num_clusters,sampling,pca,tp,fp,fn,tn,time
base,kmeans,5,smote,5.0,143743,54036,80772,117038,1.2329621315002441
base,kmeans,10,smote,5.0,137748,60031,76810,121000,1.7478084564208984
base,kmeans,30,smote,5.0,140742,57037,71239,126571,2.893688678741455
base,kmeans++,5,smote,5.0,143778,54001,80871,116939,1.0524091720581055
base,kmeans++,10,smote,5.0,131962,65817,70811,126999,1.8098983764648438
base,kmeans++,30,smote,5.0,133628,64151,65578,132232,3.102764129638672
base,kmeans,5,smote,15.0,108390,89389,47201,150609,2.642069101333618
base,kmeans,10,smote,15.0,131184,66595,63856,133954,3.1505208015441895
base,kmeans,30,smote,15.0,142978,54801,72094,125716,5.921413421630859
base,kmeans++,5,smote,15.0,144105,53674,79634,118176,2.481515645980835
base,kmeans++,10,smote,15.0,147799,49980,80735,117075,2.943702459335327
base,kmeans++,30,smote,15.0,138977,58802,68792,129018,6.336941719055176
base,kmeans,5,smote,,108309,89470,48417,149393,2.928177833557129
base,kmeans,10,smote,,131894,65885,65449,132361,3.8897383213043213
base,kmeans,30,smote,,133387,64392,65920,131890,6.6277382373809814
base,kmeans++,5,smote,,108299,89480,48764,149046,2.932003974914551
base,kmeans++,10,smote,,131853,65926,65351,132459,3.531057119369507
base,kmeans++,30,smote,,149955,47824,76397,121413,6.622039794921875
base,kmeans,5,ros,5.0,143823,53956,81179,116631,1.0386114120483398
base,kmeans,10,ros,5.0,132169,65610,70300,127510,1.3453216552734375
base,kmeans,30,ros,5.0,139609,58170,71340,126470,2.7276062965393066
base,kmeans++,5,ros,5.0,143622,54157,80506,117304,0.9911041259765625
base,kmeans++,10,ros,5.0,143603,54176,79818,117992,1.5967621803283691
base,kmeans++,30,ros,5.0,140407,57372,71637,126173,2.7682013511657715
base,kmeans,5,ros,15.0,144020,53759,80319,117491,1.9538068771362305
base,kmeans,10,ros,15.0,137226,60553,66690,131120,2.2615623474121094
base,kmeans,30,ros,15.0,145301,52478,75136,122674,4.988410234451294
base,kmeans++,5,ros,15.0,144043,53736,80247,117563,1.7652530670166016
base,kmeans++,10,ros,15.0,159226,38553,93386,104424,1.994297981262207
base,kmeans++,30,ros,15.0,139779,58000,69615,128195,4.172089338302612
base,kmeans,5,ros,,144306,53473,80320,117490,2.371893882751465
base,kmeans,10,ros,,131424,66355,61592,136218,3.4757297039031982
base,kmeans,30,ros,,143965,53814,71557,126253,6.161148309707642
base,kmeans++,5,ros,,144354,53425,80880,116930,2.4801034927368164
base,kmeans++,10,ros,,156039,41740,88677,109133,2.9897067546844482
base,kmeans++,30,ros,,134586,63193,65754,132056,4.593267917633057
base,kmeans,5,under,5.0,1628,612,914,1258,0.2419745922088623
base,kmeans,10,under,5.0,1511,737,694,1470,0.2318742275238037
base,kmeans,30,under,5.0,1455,740,661,1556,0.24205589294433594
base,kmeans++,5,under,5.0,1576,581,921,1334,0.22147321701049805
base,kmeans++,10,under,5.0,1520,714,836,1342,0.23764824867248535
base,kmeans++,30,under,5.0,1530,715,732,1435,0.2589285373687744
base,kmeans,5,under,15.0,1619,603,892,1298,0.26094651222229004
base,kmeans,10,under,15.0,1543,658,790,1421,0.2608363628387451
base,kmeans,30,under,15.0,1611,619,759,1423,0.2978649139404297
base,kmeans++,5,under,15.0,1610,607,915,1280,0.25983381271362305
base,kmeans++,10,under,15.0,1775,462,1009,1166,0.26970672607421875
base,kmeans++,30,under,15.0,1561,640,749,1462,0.30222320556640625
base,kmeans,5,under,,1566,645,910,1291,0.1299443244934082
base,kmeans,10,under,,1494,710,734,1474,0.13821840286254883
base,kmeans,30,under,,1372,747,678,1615,0.18214654922485352
base,kmeans++,5,under,,1498,761,762,1391,0.14285778999328613
base,kmeans++,10,under,,1764,453,986,1209,0.14154720306396484
base,kmeans++,30,under,,1515,660,739,1498,0.17427992820739746
base,kmeans,5,,5.0,197891,0,2109,0,0.5431268215179443
base,kmeans,10,,5.0,197891,0,2109,0,0.6895158290863037
base,kmeans,30,,5.0,197891,0,2109,0,1.6850979328155518
base,kmeans++,5,,5.0,197891,0,2109,0,0.47919631004333496
base,kmeans++,10,,5.0,197891,0,2109,0,0.6466686725616455
base,kmeans++,30,,5.0,197891,0,2109,0,1.3875672817230225
base,kmeans,5,,15.0,197891,0,2109,0,0.6672632694244385
base,kmeans,10,,15.0,197891,0,2109,0,0.9349029064178467
base,kmeans,30,,15.0,197891,0,2109,0,2.1800191402435303
base,kmeans++,5,,15.0,197891,0,2109,0,0.7834219932556152
base,kmeans++,10,,15.0,197891,0,2109,0,0.9917659759521484
base,kmeans++,30,,15.0,197891,0,2109,0,2.8007664680480957
base,kmeans,5,,,197891,0,2109,0,0.8536911010742188
base,kmeans,10,,,197891,0,2109,0,1.3088772296905518
base,kmeans,30,,,197891,0,2109,0,2.8512821197509766
base,kmeans++,5,,,197891,0,2109,0,0.978973388671875
base,kmeans++,10,,,197891,0,2109,0,1.1846511363983154
base,kmeans++,30,,,197891,0,2109,0,3.089195728302002
var1,kmeans,5,smote,5.0,154980,42812,100997,96800,1.1571099758148193
var1,kmeans,10,smote,5.0,149130,48662,94625,103172,1.5581321716308594
var1,kmeans,30,smote,5.0,146198,51594,87624,110173,2.677755355834961
var1,kmeans++,5,smote,5.0,155075,42717,101468,96329,1.0498912334442139
var1,kmeans++,10,smote,5.0,140549,57243,87998,109799,1.3940892219543457
var1,kmeans++,30,smote,5.0,142456,55336,83930,113867,2.952721118927002
var1,kmeans,5,smote,15.0,147070,50722,88733,109064,2.774132013320923
var1,kmeans,10,smote,15.0,159076,38716,101815,95982,3.043900966644287
var1,kmeans,30,smote,15.0,148317,49475,86748,111049,6.215065956115723
var1,kmeans++,5,smote,15.0,135189,62603,82022,115775,2.5877532958984375
var1,kmeans++,10,smote,15.0,147341,50451,88564,109233,2.93831729888916
var1,kmeans++,30,smote,15.0,142916,54876,78202,119595,5.139533281326294
var1,kmeans,5,smote,,127189,70603,72187,125610,2.8936495780944824
var1,kmeans,10,smote,,147480,50312,89030,108767,3.6165361404418945
var1,kmeans,30,smote,,152754,45038,90551,107246,4.842573881149292
var1,kmeans++,5,smote,,126892,70900,72607,125190,2.9495797157287598
var1,kmeans++,10,smote,,150126,47666,96785,101012,5.170997619628906
var1,kmeans++,30,smote,,155276,42516,92383,105414,5.426068067550659
var1,kmeans,5,ros,5.0,155295,42497,102193,95604,1.1697862148284912
var1,kmeans,10,ros,5.0,145771,52021,91181,106616,1.408050537109375
var1,kmeans,30,ros,5.0,140758,57034,82445,115352,2.740987777709961
var1,kmeans++,5,ros,5.0,146318,51474,87862,109935,1.0095694065093994
var1,kmeans++,10,ros,5.0,156043,41749,99723,98074,1.2706263065338135
var1,kmeans++,30,ros,5.0,146460,51332,88148,109649,2.6088619232177734
var1,kmeans,5,ros,15.0,129313,68479,77322,120475,1.6615512371063232
var1,kmeans,10,ros,15.0,151644,46148,92852,104945,2.223348379135132
